geneId	chromosome	geneStart	geneEnd	unique	genomeId2	geneIdG2	chromosomeG2	geneStartG2	geneEndG2	type
AT1G02500.TAIR10	Chr1	518251	520437	N	1	LOC_Os01g22010.MSUv7.0	Chr1	12363709	12365742	M
AT1G02500.TAIR10	Chr1	518251	520437	N	1	LOC_Os05g04510.MSUv7.0	Chr5	2089032	2092342	M
AT1G02500.TAIR10	Chr1	518251	520437	N	1	LOC_Os07g29440.MSUv7.0	Chr7	17276190	17276684	M
AT1G03530.TAIR10	Chr1	880496	883391	Y	1	LOC_Os07g46210.MSUv7.0	Chr7	27577338	27578704	U
AT1G04170.TAIR10	Chr1	1096946	1099898	Y	1	LOC_Os12g07740.MSUv7.0	Chr12	3885387	3889693	M
AT1G04170.TAIR10	Chr1	1096946	1099898	Y	1	LOC_Os12g41400.MSUv7.0	Chr12	25647427	25652252	M
AT1G04480.TAIR10	Chr1	1216095	1217467	N	1	LOC_Os02g56960.MSUv7.0	Chr2	34911030	34913524	M
AT1G04480.TAIR10	Chr1	1216095	1217467	N	1	LOC_Os10g32920.MSUv7.0	Chr10	17227357	17229370	M
AT1G04480.TAIR10	Chr1	1216095	1217467	N	1	LOC_Os03g04590.MSUv7.0	Chr3	2142725	2145526	M
AT1G04820.TAIR10	Chr1	1356191	1358386	N	1	LOC_Os07g38730.MSUv7.0	Chr7	23243793	23247242	M
AT1G04820.TAIR10	Chr1	1356191	1358386	N	1	LOC_Os11g14220.MSUv7.0	Chr11	7960506	7963390	M
AT1G04820.TAIR10	Chr1	1356191	1358386	N	1	LOC_Os03g51600.MSUv7.0	Chr3	29526111	29529118	M
AT1G05490.TAIR10	Chr1	1618602	1623452	N	1	LOC_Os05g35230.MSUv7.0	Chr5	20931114	20934024	U
AT1G07170.TAIR10	Chr1	2200123	2201265	N	1	LOC_Os04g56760.MSUv7.0	Chr4	33854398	33856555	M
AT1G07170.TAIR10	Chr1	2200123	2201265	N	1	LOC_Os05g30410.MSUv7.0	Chr5	17627044	17627376	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os04g49420.MSUv7.0	Chr4	29487977	29489558	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os01g61920.MSUv7.0	Chr1	35840515	35841322	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os03g02780.MSUv7.0	Chr3	1080711	1081442	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os09g38020.MSUv7.0	Chr9	21911963	21912683	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os05g38740.MSUv7.0	Chr5	22736688	22737282	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os07g36500.MSUv7.0	Chr7	21827213	21827867	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os05g39050.MSUv7.0	Chr5	22903108	22903946	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os09g26340.MSUv7.0	Chr9	15916005	15917026	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os02g45940.MSUv7.0	Chr2	27993898	27994741	M
AT1G07660.TAIR10	Chr1	2368837	2369734	N	1	LOC_Os10g39410.MSUv7.0	Chr10	21019255	21019903	M
AT1G07770.TAIR10	Chr1	2408203	2409577	N	1	LOC_Os07g10720.MSUv7.0	Chr7	5819718	5821777	M
AT1G07770.TAIR10	Chr1	2408203	2409577	N	1	LOC_Os02g27760.MSUv7.0	Chr2	16440267	16442516	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os04g49420.MSUv7.0	Chr4	29487977	29489558	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os01g61920.MSUv7.0	Chr1	35840515	35841322	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os03g02780.MSUv7.0	Chr3	1080711	1081442	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os09g38020.MSUv7.0	Chr9	21911963	21912683	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os05g38740.MSUv7.0	Chr5	22736688	22737282	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os07g36500.MSUv7.0	Chr7	21827213	21827867	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os05g39050.MSUv7.0	Chr5	22903108	22903946	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os09g26340.MSUv7.0	Chr9	15916005	15917026	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os02g45940.MSUv7.0	Chr2	27993898	27994741	M
AT1G07820.TAIR10	Chr1	2421216	2421947	N	1	LOC_Os10g39410.MSUv7.0	Chr10	21019255	21019903	M
AT1G07920.TAIR10	Chr1	2454846	2457321	N	1	LOC_Os03g08010.MSUv7.0	Chr3	4095194	4097239	M
AT1G07920.TAIR10	Chr1	2454846	2457321	N	1	LOC_Os03g08050.MSUv7.0	Chr3	4111409	4113361	M
AT1G07920.TAIR10	Chr1	2454846	2457321	N	1	LOC_Os03g08020.MSUv7.0	Chr3	4100741	4102679	M
AT1G07930.TAIR10	Chr1	2458244	2460790	N	1	LOC_Os03g08010.MSUv7.0	Chr3	4095194	4097239	M
AT1G07930.TAIR10	Chr1	2458244	2460790	N	1	LOC_Os03g08050.MSUv7.0	Chr3	4111409	4113361	M
AT1G07930.TAIR10	Chr1	2458244	2460790	N	1	LOC_Os03g08020.MSUv7.0	Chr3	4100741	4102679	M
AT1G07940.TAIR10	Chr1	2462953	2465467	N	1	LOC_Os03g08010.MSUv7.0	Chr3	4095194	4097239	M
AT1G07940.TAIR10	Chr1	2462953	2465467	N	1	LOC_Os03g08050.MSUv7.0	Chr3	4111409	4113361	M
AT1G07940.TAIR10	Chr1	2462953	2465467	N	1	LOC_Os03g08020.MSUv7.0	Chr3	4100741	4102679	M
